,GalaxyName,RA_deg,Dec_deg,Distance_pc,rh(arcmins),Nstar_rh,pmra_rh,pmdec_rh,Nbg_per_deg2,rh_deg,Nstar_per_rhdeg3
33,Fornax,39.99708333333333,-34.44916666666666,147231.25024327193,16.6,26041,0.6033410501550637,-0.5346984163459817,26679.5342402936,0.27666666666666667,1229665.9420378567
34,LeoIV,173.23749999999998,-0.5333333333333333,154170.04529495616,4.6,58,-4.9314558322820155,-4.404584570250181,2238.398443485258,0.07666666666666666,128708.80249856171
35,CanesVenaticiII,194.29166666666666,34.32083333333334,159955.8028614668,1.6,21,-2.0389518398193296,-0.17574812385046423,1342.8698323378667,0.02666666666666667,1107421.8749999998
36,LeoV,172.79000000000002,2.22,177827.94100389228,2.6,14,-1.3679826456585311,-4.746397131996823,2655.721535616242,0.043333333333333335,172052.79927173417
37,PiscesII,344.62916666666666,5.952500000000001,181970.08586099825,1.1,4,-2.25049111489341,-11.133855730770174,3472.471485641353,0.018333333333333333,649135.9879789632
38,ColumbaI,82.86,-28.029999999999998,181970.08586099825,1.9,27,1.453295948474253,-1.0718678683448701,4655.612739751843,0.03166666666666666,850269.7186178747
39,Pegasus3,336.09416666666664,5.42,205116.21788255626,1.3,7,9.235668832290273,2.275212181097385,4520.3770818999865,0.021666666666666667,688211.1970869367
40,IndusI?,309.71999999999997,-46.16,213796.20895022326,2.9,66,4.103356518058872,-6.197825657374114,7584.9347433093535,0.04833333333333333,584525.8108163517
41,CanesVenatici(I),202.01458333333332,33.55583333333333,217770.97723531592,8.9,232,-3.5953534587831517,-5.486002960563624,2097.6866631478188,0.14833333333333334,71083.97674223971
42,LeoII,168.36999999999998,22.151666666666664,233345.80622810044,2.6,262,-0.2796771279260749,-0.17153073925556941,11639.970985892463,0.043333333333333335,3219845.2435138826
43,LeoI,152.1170833333333,12.30638888888889,253512.8630497907,3.4,1015,-0.45732274510512577,-0.053911829083346144,21907.209813825597,0.056666666666666664,5578058.21290454
44,AndromedaXVI,14.874166666666667,32.376666666666665,476430.98680541565,0.89,4,8.03717023122629,0.544001002516845,4822.2681911444115,0.014833333333333334,1225585.805900685
45,Phoenix,27.77625,-44.44472222222222,414954.0426343633,3.76,316,0.9844615219336488,-0.1010961280508517,3269.196714710164,0.06266666666666666,1284036.2925363362
46,Eridanus2,56.08791666666667,-43.53333333333333,380189.39632056124,1.53,14,0.6935367262521017,-2.139925458333442,4242.500084981959,0.025500000000000002,844320.8117541516
47,NGC6822,296.23583333333335,-14.789166666666667,459198.0128368685,2.65,1475,-0.0716830056833636,-1.1164153566188826,134621.62505743798,0.04416666666666667,17120173.028741848
48,LeoT,143.7225,17.05138888888889,416869.3834703355,0.99,6,-2.3817069772905497,-2.3894412107134766,5845.911591988809,0.0165,1335670.7571583602
49,CraterII,177.31,-18.413,117500.0,31.2,4547,-7.009059289533056,-2.797886206171864,4693.4227670664695,0.52,32338.131543013198
50,AntliaII,143.8868,-36.7673,129400.0,30.0,19832,-4.811025741178698,2.3698248370115227,25069.237809472197,0.5,158656.0
51,CarinaII,114.1066,-57.9991,36200.0,8.69,640,-2.06426303806643,5.209334730066479,10546.245571895852,0.14483333333333331,210656.27278295255
52,CarinaIII,114.6298,-57.8997,27800.0,3.75,135,-1.3722646794118452,3.6597071644616004,11272.414102721974,0.0625,552960.0
53,CetusIII,31.331,-4.27,251000.0,1.23,2,16.51848156111567,0.5425009082078001,1262.3830505008555,0.0205,232149.85272993712
54,AquariusII,338.4813,-9.3274,107900.0,5.1,81,2.0856726522233626,-6.699704631240393,3054.6000611870113,0.08499999999999999,131894.97252188076
55,VirgoI,180.04,-0.68,87000.0,1.5,5,3.270839239677119,-5.174028705396621,2886.009634733035,0.025,319999.99999999994
56,HydraI,133.9,3.6,12700.0,0.86,1,4.37992316111058,-7.3464569771045,3098.7441597124025,0.014333333333333333,339592.74026186374
57,BootesIII,209.25,26.8,46000.0,1.5,3,-4.095391361573474,-4.91278423696519,2376.71381683897,0.025,191999.99999999994
